_id,username,year,month,income.Salary,income.Part-time,income.Allowance,income.Petty cash,income.Other,income.Rental Income,expenses.Utilities,expenses.Groceries,expenses.Gift,expenses.Beauty,expenses.Education,expenses.Social Life,comments[0],comments[1],comments[2],comments[3],comments[4],comments[5],comments[6],comments[7],comments[8],comments[9],comments[10],comments[11],comments[12],comments[13],comments[14],comments[15],comments[16],comments[17],comments[18],comments[19],comments[20],comments[21],comments[22],comments[23],comments[24],comments[25],comments[26],comments[27],comments[28],comments[29],comments[30],comments[31],comments[32],comments[33],comments[34],comments[35],comments[36],comments[37],comments[38],comments[39],comments[40],comments[41],comments[42],comments[43],comments[44],comments[45],comments[46],comments[47],comments[48],comments[49],comments[50],comments[51],comments[52],comments[53],comments[54],comments[55],comments[56],comments[57],comments[58],comments[59],comments[60],comments[61],comments[62],comments[63],comments[64],comments[65],comments[66],comments[67],comments[68],comments[69],comments[70],comments[71],comments[72],comments[73],comments[74],comments[75],comments[76],comments[77],comments[78],comments[79],comments[80],comments[81],comments[82],comments[83],comments[84],comments[85],comments[86],comments[87],comments[88],comments[89],comments[90],comments[91],expenses.Transportation,expenses.Apparel,expenses.Rent,expenses.Household,expenses.Food,expenses.Car,expenses.Self-development,expenses.Other,expenses.Movie,key,income.Object,income[0],income[1],income[2],income[3],income[4],income[5],comment,income.Part-Time,comments,income.Pocket Money,income.Other Income,expenses.Trip,expenses.Transport,expenses.Other Expenses,income.Trading,expenses.Parties,income.,expenses.,expenses.Gifts,expenses.Grocery,expenses.Credit-card,expenses.Travel,expenses.Shopping
655154a8bd356602305825fe,angeladennis,2023,November,,3889.97,133.61,,,1606.5,927.96,4221.92,,1973.61,,,It doctor wait education.,Positive partner right.,Experience position wish southern.,Case around visit rise former long.,Assume black through strategy system.,Song movement reality.,Have security exist owner history college.,Million begin plan already most.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4681.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825ff,angeladennis,2023,October,4239.89,3493.38,,,500.14,,,2663.55,2782.23,,,,Key may recent yet bad return.,Own six past day.,New else sound improve.,Side treat great sometimes.,Their true break head.,Civil carry court write sport development section.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4369.96,,4006.1,,,1771.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582605,darlenebrown,2015,January,363.71,,4860.25,1382.8,1928.71,3180.41,4208.7,,3434.33,,4304.13,563.46,Law late size first fill.,Heart oil something surface.,So hair significant sense continue physical peace.,Worker task American gas usually standard.,Produce take family physical since gun me.,Region green environment sense community surface buy bill.,Prevent control current step yeah.,Mission mother live life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814.65,2001.45,,,,3326.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582614,darlenebrown,2016,March,4465.52,,2387.71,4696.24,973.72,1651.14,,3929.76,,1409.67,,3066.64,Person development car brother blue.,Thus it participant expect leg ok other.,Report evidence fact paper.,Word all item water make.,Major father old place myself argue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058262a,darlenebrown,2018,July,4375.17,3896.06,2364.78,1923.29,456.49,381.26,,,,,554.38,,Exactly finish tree.,Not bad wonder onto girl ball drug.,Whose wall summer life level.,Choose minute guess claim television every back.,Choose gas west adult civil.,Meet administration actually than.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3609.73,678.97,,2555.98,,533.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058262d,darlenebrown,2018,May,,426.23,,4629.52,,1806.35,,,,4892.3,738.13,4994.59,Tonight capital into form.,Wall key drug skin drop production special.,Employee thus wear another should heavy represent lot.,Onto sure shoulder weight teach according always.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,3874.27,,,,4176.2,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582634,darlenebrown,2019,February,,,468.03,4892.06,3365.53,1814.86,4506.56,1495.51,4761.78,,,4971.63,Wonder only state onto treat.,Try star listen.,Like figure moment camera.,Air bad most event choice rich in source.,Onto your hotel then feel.,Operation break firm buy Democrat.,Dream only management.,Lose defense often race green.,Side though author American subject free down.,Standard sound offer score senior help lead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3142.45,,,,331.26,827.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058263e,darlenebrown,2020,August,,,4043.57,,2667.46,4283.56,,4617.32,,4463.34,1588.06,,Hope pattern successful article tonight analysis movie.,Above friend society move.,Word or age kid can stock.,By though address trip require.,Choice six add step.,Usually clear career.,Moment catch imagine hit.,Reach model fire minute raise.,Defense president off election.,Benefit table away result focus break vote.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4282.97,4290.65,1008.54,2850.32,869.9,4054.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582643,darlenebrown,2020,June,576.02,,,2965.72,3951.7,,,,4095.54,,624.73,,Step culture show require respond enough.,Like base later above.,Ok high today majority result throughout.,Learn film stuff interesting.,Next attention recently building.,Hair next message control task then.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321.26,,,,2733.84,839.61,,2305.58,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058264f,darlenebrown,2021,June,3474.14,4243.46,1486.2,,,,,,,889.93,1952.27,,Shake system somebody or.,Nor hope lot throw interest call century.,People another ground.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3570.06,,,,,,1889.41,2227.51,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582652,darlenebrown,2021,November,1851.99,3633.91,315.09,,,,2235.68,,4361.9,1808.08,,,Always machine story fish reach building task.,Within hard picture street.,Prepare window professional truth.,Most road edge field.,Day doctor production summer anyone thought hot fight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.03,,,96.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058265b,darlenebrown,2022,June,,,,3770.09,,,,2523.88,,4591.92,2724.26,3846.85,Person pay night work kind prove indeed.,Especially form artist week.,Production light production sing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058265e,darlenebrown,2022,November,2682.76,,4935.69,1418.11,,2400.67,,2587.44,,,,,With allow sister heart ball.,Floor only understand check difficult trip.,Political subject today story world.,So authority do.,Program different ok more glass dinner.,Them set million traditional particular agreement.,Outside just remain nation.,Guess result hard option picture follow thing seat.,Push catch field wide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4988.25,1028.13,395.7,3134.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582663,darlenebrown,2023,December,1635.31,890.33,,,3349.17,,,571.02,2193.33,,1816.85,,Seat degree sing agreement yet accept.,Born region service model.,Hard trial sit military second.,Talk effect green off interview subject between.,Simple team idea.,Hold beautiful scientist human.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334.87,2752.91,,2509.67,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582668,darlenebrown,2023,March,4677.99,2707.14,,,1927.25,4159.93,,,,,,,Relate operation agency toward me.,Design our you her local born.,Enjoy set to question trade.,Oil quickly from design idea page value listen.,Give act evening class play entire the moment.,Eight animal which onto walk if.,Identify finally rise go bad.,Student finish shake drug.,Building often ball risk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3491.36,,,2396.6,4340.72,391.69,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582675,doughertyjennifer,2015,May,,3838.2,1239.62,845.81,,,3447.69,4423.26,,3300.16,,2193.79,Final chair environment later Democrat defense.,Learn mission usually protect into.,Eye I evidence evening.,Worker north run six.,Body right who form walk economy.,Sound brother adult type billion high.,Onto act box PM.,Dark on rise.,Sea better sit condition school brother.,These program worry or laugh world read.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4048.17,376.21,,3562.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582683,doughertyjennifer,2016,October,3032.74,,,1463.6,,2641.43,4687.28,,,,,,Responsibility full southern trial collection.,But involve hear.,Site story field man.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4126.82,,,,,581.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582690,doughertyjennifer,2017,September,3134.86,2363.81,,1801,,,1903.78,,,,2210.91,661.46,Clearly already stop happy film sure.,Study do free learn worker choose take.,Color war mission staff range guess.,Catch first business everything.,Require data we others its two where box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4329.87,,,318.95,2724.54,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058269b,doughertyjennifer,2018,October,150.63,,,2697.69,,,,3056.6,2441.41,,4581.54,,Relate spend audience opportunity artist little large.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2847.68,,,,,424.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305826a1,doughertyjennifer,2019,January,936.95,2185.13,3403.94,4476.59,,,,,,,,4675.36,Use can truth.,Try positive world.,Standard quickly score site.,Detail cell like tree.,Protect maintain here until sound fall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385.32,556.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305826a9,doughertyjennifer,2020,April,2672.31,,4756.76,1566.56,4646.93,4153.04,,,,,2028.16,3923.46,He beautiful even despite drive fire.,Leader door window throw.,Lead education garden change recognize research.,So season what camera owner.,Everything family expect.,Reach season beautiful nothing.,Light center that kind.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305826d3,doughertyjennifer,2023,June,1583.83,4815.31,3503.12,,,,3299.58,,,537.03,,,Happen hear I marriage.,Answer debate begin effort week consider notice.,Item successful college fill.,Politics station wind.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979.38,1310.31,,4375.83,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305826db,ellenhunter,2015,December,4076.01,,4078.63,,,3354.03,,,,,221.38,,Special nice around continue attack walk magazine.,Suddenly goal allow marriage forward where without.,When create lay pull.,Tend shake lose with.,Road know look all own deal red sure.,Wonder it above like.,Material evidence performance prevent nice according.,Participant film try official this sing wait.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4269.69,1406.91,363.35,1029.23,1749.07,,1155.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305826e2,ellenhunter,2015,November,1515.04,,,1001.41,4124.83,1385.65,,2082.94,3060.88,216.11,,,Senior nor care build glass.,Four realize under sell anything trial.,Blue himself guess writer example shake relationship evening.,Must year agree here reason become popular course.,Concern drive spend happy.,Forward three nearly natural raise Republican inside.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4941.36,,501.9,,2595.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305826ee,ellenhunter,2016,November,1606.23,794.65,2832.9,,,4224.5,4557.97,,4653.55,,4997.98,3918.68,Share whom important law can student.,Team why Mrs return.,Film group technology probably reason suffer.,Population information stay door.,Everybody friend professor.,Certainly spend media factor education.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308.55,,3789.82,183.95,3604.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305826f9,ellenhunter,2017,May,,,3560.24,,2467.92,,4141.81,,225.66,,,4966.95,Behavior word join seem little relationship college from.,Travel education suffer another society expert.,Why health TV future offer meet.,Make tree trial fall particular guess item.,Still science safe firm end.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4263.24,,1733.64,,,2167.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582710,ellenhunter,2019,March,2453.37,,2498.06,2259.74,4782.74,2942.78,66.51,1514.25,947.65,,90.48,,Population own could adult each seek study.,Model address half someone.,Already smile between cover ask can however.,Market lawyer doctor why action time.,Score seem during huge.,Camera sit Republican consider return daughter.,Send court set seem reveal toward.,Vote picture ok.,Choice receive station tonight skin hold against.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372.13,,,,143.14,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582718,ellenhunter,2020,February,,4061.55,3533.55,1190.5,1920.43,4705.08,3203.09,,2933.98,,,,Who democratic different interest participant know among.,Or threat some reason close.,Crime child believe then he perform style.,Data find data audience month anyone technology.,Themselves reason sound kind.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.27,,3865.53,,830.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582724,ellenhunter,2021,February,2184.92,2122.4,82.3,2817.24,4897.59,4435.07,,,4558.66,,,2720.28,Leader we image minute defense design.,Lead station play keep quickly.,Although arm choose movie onto scene.,Husband pull ground project action source everything.,Fund record tell friend same officer coach.,Special open current start challenge.,Ask trial teach wonder already.,Full southern each open.,Close meeting today.,Point charge trial.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.69,74.18,,939.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582737,ellenhunter,2022,October,,25.33,,3286.03,,,4611.11,,2518.75,816.59,,44.43,Same method within outside ever born reach.,Artist for door now bit change.,Role teach million field population PM north activity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.67,,1985.09,,1362.21,,1903.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582743,ellenhunter,2023,October,4556.13,4825.82,,4384.92,401.01,1448.55,,3679.7,,242.33,,,Attorney civil those growth.,Light weight without occur sport travel interest.,Stuff feel white industry bring.,Because everyone attorney unit contain pass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3854.35,,851.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058274e,foxjeffrey,2015,November,2980.08,1706.72,1718.48,4554.77,2941.95,,,,410.76,976.56,,,None one off wait then everybody.,Family material beautiful why.,How month cause opportunity include also keep test.,Operation society myself worker thousand article.,Eight point despite have page.,Ground billion third ask.,Computer or pattern big analysis data oil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.07,,,,,1394.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582754,foxjeffrey,2016,February,,3182.38,4210.86,3308.37,4164.07,4477.14,,,,,,,Everything of leg begin trial travel.,Case gun loss because nothing value rock.,Reach able consider claim particular owner offer.,Though child lead tonight build special chance.,Myself will involve thus house eat.,Establish citizen century particularly have.,Offer rest like stock.,Discuss bank almost peace attention.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.24,1641.42,1119.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
